;city;PC6;Homes_Passed;ACTIVE_CUSTOMERS_Resi;ACTIVE_CUSTOMERS_Soho;;;;;
;DELFT;2611AG;19;10;2;;Rijlabels;Som van Homes_Passed;Som van ACTIVE_CUSTOMERS_Resi_Soho;
;DELFT;2611AL;33;8;3;;DELFT;52526;25165;
;DELFT;2611AM;24;7;4;;LEIDSCHENDAM;16674;9964;
;DELFT;2611AN;137;7;2;;NOOTDORP;7093;3750;
;DELFT;2611AP;25;10;0;;'S-GRAVENHAGE;272117;133876;
;DELFT;2611AR;14;6;2;;VOORBURG;21610;12974;
;DELFT;2611AV;17;4;2;;WASSENAAR;12810;8443;
;DELFT;2611BB;102;8;2;;Eindtotaal;382830;194172;
;DELFT;2611BC;50;23;2;;;;;
;DELFT;2611BD;48;14;2;;;;;
;DELFT;2611BH;7;5;0;;;;;
;DELFT;2611BJ;15;5;1;;;;;
;DELFT;2611BP;16;7;3;;;;;
;DELFT;2611BS;36;1;0;;;;;
;DELFT;2611BT;52;2;0;;;;;
;DELFT;2611BW;12;5;0;;;;;
;DELFT;2611BZ;36;17;0;;;;;
;DELFT;2611CA;10;3;3;;;;;
;DELFT;2611CC;20;11;2;;;;;
;DELFT;2611CE;16;6;0;;;;;
;DELFT;2611CG;18;7;2;;;;;
;DELFT;2611CK;4;0;1;;;;;
;DELFT;2611CL;16;5;3;;;;;
;DELFT;2611CM;28;9;4;;;;;
;DELFT;2611CN;24;5;3;;;;;
;DELFT;2611CR;25;8;3;;;;;
;DELFT;2611CS;5;1;0;;;;;
;DELFT;2611CV;35;23;0;;;;;
;DELFT;2611CX;6;4;0;;;;;
;DELFT;2611DB;19;9;1;;;;;
;DELFT;2611DD;27;16;1;;;;;
;DELFT;2611DN;23;14;1;;;;;
;DELFT;2611EB;22;10;4;;;;;
;DELFT;2611ED;16;7;0;;;;;
;DELFT;2611EH;24;13;1;;;;;
;DELFT;2611EJ;16;7;3;;;;;
;DELFT;2611EN;28;9;1;;;;;
;DELFT;2611EP;17;2;5;;;;;
;DELFT;2611ET;21;5;4;;;;;
;DELFT;2611EW;24;12;3;;;;;
;DELFT;2611EZ;22;7;3;;;;;
;DELFT;2611GA;29;6;4;;;;;
;DELFT;2611GB;10;2;1;;;;;
;DELFT;2611GC;12;2;2;;;;;
;DELFT;2611GG;9;3;1;;;;;
;DELFT;2611GH;22;7;0;;;;;
;DELFT;2611GJ;88;37;4;;;;;
;DELFT;2611GK;34;10;6;;;;;
